file,dates,ports,lanes,artifact_roots,mutating_terms
tools/e2e/phase05-finalize-excess-disposition.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/excess-disposition,post

tools/e2e/phase05-finalize-return-receipt.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/cleanup/manual-runtime-logs/api-reload.stdout.log;.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/return-receipt;.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/manifest.json,cleanup;post;update

tools/e2e/phase05-finalize-supplemental-partial.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/supplemental-partial,post

tools/e2e/phase05-finalize-supplemental-route.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/supplemental-partial,post

tools/e2e/phase05-golden-approve-demands.mjs,2026-08-10;2026-08-15,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/approve-demands,post

tools/e2e/phase05-golden-approve-purchase-requests.mjs,2026-08-10;2026-08-15,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/approve-purchase-requests,post

tools/e2e/phase05-golden-create-issues.mjs,2026-08-10;2026-08-15,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/create-issues,post

tools/e2e/phase05-golden-create-purchase-orders.mjs,2026-08-10;2026-08-15,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/create-purchase-orders,post

tools/e2e/phase05-golden-create-purchase-requests.mjs,2026-08-10;2026-08-15,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/create-purchase-requests,post

tools/e2e/phase05-golden-create-receipts.mjs,2026-08-10;2026-08-15,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/create-receipts,post

tools/e2e/phase05-golden-five-viewports.mjs,,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/viewports,post

tools/e2e/phase05-golden-kitchen-acknowledgement.mjs,2026-08-10;2026-08-11;2026-08-12;2026-08-13,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/kitchen-acknowledgement,post

tools/e2e/phase05-golden-receipt-lifecycle.mjs,2026-08-10;2026-08-15,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/receipt-,post

tools/e2e/phase05-golden-service-runs.mjs,2026-08-10;2026-08-11;2026-08-12;2026-08-13,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/service-runs,post

tools/e2e/phase05-golden-stage1-diagnostic.mjs,,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/stage1-diagnostic,

tools/e2e/phase05-golden-stage1.mjs,2026-08-10;2026-08-15,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/stage1;.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/preflight/task1-manifest.json,post;update

tools/e2e/phase05-golden-supplier-decisions.mjs,2026-08-10;2026-08-15,3030;8030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/supplier-decisions,post

tools/e2e/phase05-manager-service-run-probe.mjs,,3030,IPC_LANE7,.artifacts/browser-use-service-run-manager-probe;.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/golden/service-runs/manager-probe,

tools/e2e/phase05-menu-amendment-correction.mjs,,3032,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/menu-amendment/correction,post

tools/e2e/phase05-menu-amendment-create.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/menu-amendment,post;update

tools/e2e/phase05-menu-amendment-readback.mjs,2026-08-10,,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/menu-amendment,delete

tools/e2e/phase05-purchasing-tab-split.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/quality-isolation/tab-split,

tools/e2e/phase05-quality-isolation-approve.mjs,,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/quality-isolation/approve,post

tools/e2e/phase05-quality-isolation-order.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/quality-isolation/order,post

tools/e2e/phase05-quality-isolation-partial.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/quality-isolation/partial,post

tools/e2e/phase05-quality-isolation-read-probe.mjs,2026-08-10,3030,IPC_LANE7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/quality-isolation/probe,

tools/e2e/phase05-quality-isolation-readback.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/quality-isolation/readback,

tools/e2e/phase05-quality-isolation-receipt.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/quality-isolation/receipt,post

tools/e2e/phase05-quality-isolation-supplier.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/quality-isolation/supplier,post

tools/e2e/phase05-readback-kitchen-discrepancy.mjs,2026-08-11,3034,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/kitchen-discrepancy,

tools/e2e/phase05-readback-supplemental-partial.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/supplemental-partial,

tools/e2e/phase05-supplemental-clean-dav.mjs,2026-08-10,3030,IPC_LANE7;ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/supplemental-clean-dav,post

tools/e2e/phase05-weekly-menu-fulfillment-readback.mjs,2026-08-14,3031,ipc_lane7,.artifacts/shipyard-live/phase-05-multi-customer-lifecycle/exceptions/lifecycle-fulfillment,

tools/e2e/run-phase28-baseline-recovery.mjs,,,,.artifacts/phase28-ui-audit/baseline-recovery,update

tools/e2e/run-phase28-remediation.mjs,,,,.artifacts/phase28-ui-audit/remediation,
